timestamp,price,target,rsi,macd,macd_signal,macd_histogram,ema_ratio,volatility,volume_spike,momentum,bollinger_position
1772522700000.0,2000.0,1,53.35817035120593,0.0005829990841125436,0.0005678556925255424,1.5143391587001286e-05,1.0005999249664332,0.0009109448776802902,0.5531898905392882,-0.0014479005442109396,0.34405050263159276
1772522760000.0,2000.0,0,53.36078817323924,0.0005512480704765039,0.0005545486378499188,-3.3005673734148864e-06,1.00053883980019,0.0008882378545596191,0.40084406434007336,-0.00010998790133086724,0.3082977630872703
1772522820000.0,1999.12,0,48.74800774855255,0.00048355433910741747,0.0005301709113982803,-4.661657229086276e-05,1.0000851438841858,0.0008905733249316525,1.1699028629678128,0.000560560560560506,0.096047426335921
1772522880000.0,2000.81,0,57.26530650291908,0.0004716946090983152,0.0004854856135753091,-1.3791004476993922e-05,1.0008290731435456,0.0008902239548286176,0.34102579415963175,0.001090747161805755,0.41746400823926
1772522940000.0,2000.41,0,54.79008771696976,0.0004316549865552447,0.0004356311756232579,-3.976189068013272e-06,1.0005536807819218,0.000887695121876829,0.272809818178808,-0.000514629466783902,0.2869517169065181
1772523000000.0,2000.03,0,52.412277747335494,0.00037533673216544664,0.00038484913922335343,-9.512407057906741e-06,1.0003137584522785,0.000890049240088507,0.8563340691866765,0.0001350162019442242,0.15351465744484294
1772523060000.0,1998.5,0,43.37798089650134,0.00025118032276876835,0.0003080016080943286,-5.682128532556023e-05,0.9995717896069622,0.0009023992451092933,1.4485461000427702,-0.000914849049906729,-0.3529726366650918
1772523120000.0,1998.89,0,45.380690846504535,0.00015578804357201863,0.00022255990603793014,-6.677186246591152e-05,0.9997675216952959,0.000897373308349083,2.285653795322553,-0.0008747200895713372,-0.3200030762246614
1772523180000.0,1998.38,0,41.929437838703926,0.0001158328897378469,0.00022240030259745196,-0.00010656741285960506,0.9995671327941984,0.0008999107987865053,2.4185573597997942,-1.0008006405114997e-05,-0.6335903214444913
1772523240000.0,1997.37,0,36.69127832734503,7.972447230053719e-05,0.0002554854339718465,-0.0001757609616713093,0.9991752840098308,0.0008008924321748188,3.854752247765063,-0.0017941388133696553,-0.9122602891147481
1772523300000.0,1995.36,1,27.733298869658014,-6.740637964363428e-05,0.00019842704615044592,-0.00026583342579408016,0.9983466651513323,0.0007504947207628296,0.3790335534946544,-0.00232000000000005,-1.0
1772523360000.0,1996.24,0,35.50926157298677,-0.00010618929380960552,0.00019168809710710152,-0.00029787739091670704,0.9989235808874967,0.000713464393088341,1.6439582091170872,-0.0018799999999999954,-0.940585118871144
1772523420000.0,1996.26,1,38.24426456277712,-0.0001380920499149386,0.00016728659765787113,-0.0003053786475728097,0.9990513122222432,0.0006748580442903548,0.1646497274755873,-0.0014306294769698168,-0.8474454220720982
1772523480000.0,1994.73,1,28.21478092603722,-0.0003971264823893066,-0.00011723616067336054,-0.00027989032171594607,0.9983815204961805,0.0006871827270573721,0.708461613594362,-0.003038769298434098,-1.0
