fold,train_start,train_end,test_start,test_end,train_size,test_size,test_up_pct,accuracy,precision,recall,f1,auc,baseline,improvement
1,0,86400,86400,106560,86400,20160,49.89087301587302,0.5290674603174603,0.5263649962602842,0.5597534301053887,0.5425460152259806,0.5354143896503034,0.5010912698412698,0.027976190476190488
2,20160,106560,106560,126720,86400,20160,50.30257936507937,0.5249503968253968,0.5273733255678509,0.5357459816586135,0.5315266839504965,0.5316708725761059,0.5030257936507937,0.021924603174603097
