horizon,samples,train_size,test_size,train_up_pct,test_up_pct,accuracy,precision,recall,f1,baseline,improvement,true_negatives,false_positives,false_negatives,true_positives,score
1,129565,103652,25913,49.261953459653455,49.85142592521129,0.5220159765368734,0.5207715133531158,0.516256386437529,0.5185041206655263,0.5014857407478872,0.020530235788986162,6858,6137,6249,6669,0.31864024644651107
3,129563,103650,25913,50.08104196816209,49.766526453903445,0.519700536410296,0.5159055563410151,0.5659119106699751,0.5397529768508247,0.4976652645390345,0.02203527187126153,6169,6848,5598,7298,0.34051357500474455
5,129561,103648,25913,50.22479932077801,50.082969937869024,0.5186585883533361,0.5185620818936999,0.543535213438126,0.5307550506000527,0.5008296993786903,0.01782888897464585,6386,6549,5924,7054,0.32941863480131195
10,129556,103644,25912,50.03183975917565,49.56776782957703,0.519720592775548,0.5149181185971734,0.5361258175023357,0.5253080062554831,0.4956776782957703,0.024042914479777744,6581,6487,5958,6886,0.3280473129192567
15,129551,103640,25911,50.18718641451178,49.98263285863147,0.5234456408475165,0.5211891208096142,0.5726198749131342,0.5456953642384106,0.4998263285863147,0.02361931226120184,6147,6813,5535,7416,0.34494229664994414
